Scope,Family,Segment,Feature,Bucket,Boundaries,Selected,Targets,Stops,Unresolved,TargetRate,TotalProxyTicks,ProxyTicksPerSelected,NetAtHalfTick,NetAtOneTick,NetAtOneHalfTicks
PRIME,COMBINED,LONG,DepthRatio,3,"(0, 0.5, 1)",140,116,24,0,82.85714285714286,340,2.4285714285714284,1.9285714285714284,1.4285714285714284,0.9285714285714284
PRIME,COMBINED,LONG,DepthRatio,MISSING_OR_NO_LEVEL,"(0, 0.5, 1)",25,18,7,0,72.0,20,0.8,0.30000000000000004,-0.19999999999999996,-0.7
PRIME,COMBINED,LONG,SpeedRatio,1,"(0, 0.5, 1, 2)",58,49,9,0,84.48275862068965,155,2.6724137931034484,2.1724137931034484,1.6724137931034484,1.1724137931034484
PRIME,COMBINED,LONG,SpeedRatio,2,"(0, 0.5, 1, 2)",75,63,12,0,84.0,195,2.6,2.1,1.6,1.1
PRIME,COMBINED,LONG,SpeedRatio,3,"(0, 0.5, 1, 2)",78,65,13,0,83.33333333333333,195,2.5,2.0,1.5,1.0
PRIME,COMBINED,LONG,SpeedRatio,4,"(0, 0.5, 1, 2)",89,66,23,0,74.15730337078652,100,1.1235955056179776,0.6235955056179776,0.12359550561797761,-0.3764044943820224
PRIME,COMBINED,LONG,SpeedRatio,MISSING_OR_NO_LEVEL,"(0, 0.5, 1, 2)",25,18,7,0,72.0,20,0.8,0.30000000000000004,-0.19999999999999996,-0.7
PRIME,COMBINED,SHORT,RoomTicks,1,"(0, 3, 6, 11)",13,10,3,0,76.92307692307692,20,1.5384615384615385,1.0384615384615385,0.5384615384615385,0.03846153846153855
PRIME,COMBINED,SHORT,RoomTicks,2,"(0, 3, 6, 11)",35,26,9,0,74.28571428571429,40,1.1428571428571428,0.6428571428571428,0.1428571428571428,-0.3571428571428572
PRIME,COMBINED,SHORT,RoomTicks,3,"(0, 3, 6, 11)",101,77,23,1,77.0,155,1.5346534653465347,1.0346534653465347,0.5346534653465347,0.034653465346534684
PRIME,COMBINED,SHORT,RoomTicks,4,"(0, 3, 6, 11)",69,56,12,1,82.3529411764706,160,2.318840579710145,1.818840579710145,1.318840579710145,0.818840579710145
PRIME,COMBINED,SHORT,RoomTicks,MISSING_OR_NO_LEVEL,"(0, 3, 6, 11)",89,71,18,0,79.7752808988764,175,1.9662921348314606,1.4662921348314606,0.9662921348314606,0.4662921348314606
PRIME,COMBINED,SHORT,DepthRatio,1,"(0, 0.5, 1)",76,57,18,1,76.0,105,1.381578947368421,0.881578947368421,0.381578947368421,-0.11842105263157898
PRIME,COMBINED,SHORT,DepthRatio,2,"(0, 0.5, 1)",78,59,19,0,75.64102564102564,105,1.3461538461538463,0.8461538461538463,0.34615384615384626,-0.15384615384615374
PRIME,COMBINED,SHORT,DepthRatio,3,"(0, 0.5, 1)",129,104,24,1,81.25,280,2.1705426356589146,1.6705426356589146,1.1705426356589146,0.6705426356589146
PRIME,COMBINED,SHORT,DepthRatio,MISSING_OR_NO_LEVEL,"(0, 0.5, 1)",24,20,4,0,83.33333333333333,60,2.5,2.0,1.5,1.0
PRIME,COMBINED,SHORT,SpeedRatio,1,"(0, 0.5, 1, 2)",82,65,17,0,79.26829268292683,155,1.8902439024390243,1.3902439024390243,0.8902439024390243,0.3902439024390243
