PullbackBars,Prior8Min,Prior24Min,GapMin,PenMin,PenMax,Current8Min,DevN,DevTarget,DevRate,HoldN,HoldTarget,HoldRate
2,20,30,1.5,0.5,4.5,15,340,240,70.59,380,261,68.68
2,20,30,1.5,1,4.5,-999,447,318,71.14,495,346,69.9
2,20,30,1.5,1,4.5,0,391,277,70.84,444,310,69.82
2,20,30,1.5,1,4.5,15,314,221,70.38,345,241,69.86
2,20,30,1.5,1,2.5,-999,161,117,72.67,171,121,70.76
2,20,30,1.5,1,2.5,0,161,117,72.67,171,121,70.76
2,20,30,1.5,1,2.5,15,161,117,72.67,171,121,70.76
2,20,30,3,0,4.5,-999,457,327,71.55,509,351,68.96
2,20,30,3,0,4.5,0,415,296,71.33,465,316,67.96
2,20,30,3,0,4.5,15,347,246,70.89,374,254,67.91
2,20,30,3,0.5,4.5,-999,437,313,71.62,496,342,68.95
2,20,30,3,0.5,4.5,0,395,282,71.39,452,307,67.92
2,20,30,3,0.5,4.5,15,327,232,70.95,361,245,67.87
2,20,30,3,1,4.5,-999,411,294,71.53,463,324,69.98
2,20,30,3,1,4.5,0,369,263,71.27,419,289,68.97
2,20,30,3,1,4.5,15,301,213,70.76,328,227,69.21
2,20,30,3,1,2.5,-999,159,116,72.96,167,117,70.06
2,20,30,3,1,2.5,0,159,116,72.96,167,117,70.06
2,20,30,3,1,2.5,15,159,116,72.96,167,117,70.06
2,20,30,5,0,4.5,-999,314,227,72.29,354,250,70.62
2,20,30,5,0,4.5,0,292,210,71.92,340,238,70.0
2,20,30,5,0,4.5,15,256,185,72.27,293,203,69.28
2,20,30,5,0.5,4.5,-999,295,213,72.2,342,242,70.76
2,20,30,5,0.5,4.5,0,273,196,71.79,328,230,70.12
2,20,30,5,0.5,4.5,15,237,171,72.15,281,195,69.4
2,20,30,5,1,4.5,-999,269,194,72.12,313,226,72.2
2,20,30,5,1,4.5,0,247,177,71.66,299,214,71.57
2,20,30,5,1,4.5,15,211,152,72.04,252,179,71.03
2,20,30,5,1,2.5,-999,114,85,74.56,136,102,75.0
2,20,30,5,1,2.5,0,114,85,74.56,136,102,75.0
2,20,30,5,1,2.5,15,114,85,74.56,136,102,75.0
2,20,39,1.5,0,4.5,-999,379,274,72.3,412,291,70.63
2,20,39,1.5,0,4.5,0,347,250,72.05,382,269,70.42
2,20,39,1.5,0,4.5,15,295,212,71.86,323,224,69.35
2,20,39,1.5,0.5,4.5,-999,359,260,72.42,400,283,70.75
2,20,39,1.5,0.5,4.5,0,327,236,72.17,370,261,70.54
2,20,39,1.5,0.5,4.5,15,275,198,72.0,311,216,69.45
2,20,39,1.5,1,4.5,-999,334,241,72.16,370,266,71.89
2,20,39,1.5,1,4.5,0,302,217,71.85,340,244,71.76
2,20,39,1.5,1,4.5,15,250,179,71.6,281,199,70.82
2,20,39,1.5,1,2.5,-999,135,102,75.56,148,109,73.65
2,20,39,1.5,1,2.5,0,135,102,75.56,148,109,73.65
2,20,39,1.5,1,2.5,15,135,102,75.56,148,109,73.65
2,20,39,3,0,4.5,-999,378,273,72.22,410,291,70.98
2,20,39,3,0,4.5,0,347,250,72.05,382,269,70.42
2,20,39,3,0,4.5,15,295,212,71.86,323,224,69.35
2,20,39,3,0.5,4.5,-999,358,259,72.35,398,283,71.11
2,20,39,3,0.5,4.5,0,327,236,72.17,370,261,70.54
2,20,39,3,0.5,4.5,15,275,198,72.0,311,216,69.45
2,20,39,3,1,4.5,-999,333,240,72.07,368,266,72.28
2,20,39,3,1,4.5,0,302,217,71.85,340,244,71.76
2,20,39,3,1,4.5,15,250,179,71.6,281,199,70.82
2,20,39,3,1,2.5,-999,135,102,75.56,148,109,73.65
2,20,39,3,1,2.5,0,135,102,75.56,148,109,73.65
2,20,39,3,1,2.5,15,135,102,75.56,148,109,73.65
2,20,39,5,0,4.5,-999,310,226,72.9,349,249,71.35
2,20,39,5,0,4.5,0,288,209,72.57,336,237,70.54
2,20,39,5,0,4.5,15,252,184,73.02,289,202,69.9
2,20,39,5,0.5,4.5,-999,291,212,72.85,337,241,71.51
2,20,39,5,0.5,4.5,0,269,195,72.49,324,229,70.68
2,20,39,5,0.5,4.5,15,233,170,72.96,277,194,70.04
2,20,39,5,1,4.5,-999,266,193,72.56,308,225,73.05
2,20,39,5,1,4.5,0,244,176,72.13,295,213,72.2
2,20,39,5,1,4.5,15,208,151,72.6,248,178,71.77
2,20,39,5,1,2.5,-999,112,85,75.89,134,102,76.12
2,20,39,5,1,2.5,0,112,85,75.89,134,102,76.12
2,20,39,5,1,2.5,15,112,85,75.89,134,102,76.12
2,39,10,1.5,0,4.5,-999,519,370,71.29,565,395,69.91
2,39,10,1.5,0,4.5,0,464,328,70.69,520,362,69.62
2,39,10,1.5,0,4.5,15,383,269,70.23,412,284,68.93
2,39,10,1.5,0.5,4.5,-999,499,356,71.34,552,386,69.93
2,39,10,1.5,0.5,4.5,0,444,314,70.72,507,353,69.63
2,39,10,1.5,0.5,4.5,15,363,255,70.25,399,275,68.92
2,39,10,1.5,1,4.5,-999,473,337,71.25,516,366,70.93
2,39,10,1.5,1,4.5,0,418,295,70.57,471,333,70.7
2,39,10,1.5,1,4.5,15,337,236,70.03,363,255,70.25
2,39,10,1.5,1,2.5,-999,176,127,72.16,176,125,71.02
2,39,10,1.5,1,2.5,0,176,127,72.16,176,125,71.02
2,39,10,1.5,1,2.5,15,176,127,72.16,176,125,71.02
2,39,10,3,0,4.5,-999,445,321,72.13,493,341,69.17
2,39,10,3,0,4.5,0,409,293,71.64,455,310,68.13
2,39,10,3,0,4.5,15,346,246,71.1,373,253,67.83
2,39,10,3,0.5,4.5,-999,425,307,72.24,480,332,69.17
2,39,10,3,0.5,4.5,0,389,279,71.72,442,301,68.1
2,39,10,3,0.5,4.5,15,326,232,71.17,360,244,67.78
2,39,10,3,1,4.5,-999,399,288,72.18,447,314,70.25
2,39,10,3,1,4.5,0,363,260,71.63,409,283,69.19
2,39,10,3,1,4.5,15,300,213,71.0,327,226,69.11
2,39,10,3,1,2.5,-999,158,116,73.42,167,116,69.46
2,39,10,3,1,2.5,0,158,116,73.42,167,116,69.46
2,39,10,3,1,2.5,15,158,116,73.42,167,116,69.46
2,39,10,5,0,4.5,-999,308,224,72.73,350,247,70.57
2,39,10,5,0,4.5,0,287,208,72.47,337,236,70.03
2,39,10,5,0,4.5,15,255,185,72.55,291,202,69.42
2,39,10,5,0.5,4.5,-999,289,210,72.66,338,239,70.71
2,39,10,5,0.5,4.5,0,268,194,72.39,325,228,70.15
2,39,10,5,0.5,4.5,15,236,171,72.46,279,194,69.53
2,39,10,5,1,4.5,-999,263,191,72.62,309,223,72.17
2,39,10,5,1,4.5,0,242,175,72.31,296,212,71.62
