bar,time,direction,entry,families,segment,outcome
16202,2026-08-13 07:49:21.080,-1,7820.25,PIN,DEV,STOP
16206,2026-08-13 07:50:03.240,-1,7821.25,EMA8,DEV,STOP
16233,2026-08-13 07:58:27.352,-1,7822.25,EMA50,DEV,STOP
16549,2026-08-13 11:35:43.984,1,7817.25,PIN7,DEV,TARGET
16556,2026-08-13 11:50:33.608,1,7822.25,PIN7,DEV,TARGET
16561,2026-08-13 12:00:25.748,1,7822.5,EMA8,DEV,TARGET
16564,2026-08-13 12:05:25.360,1,7823.75,EMA8,DEV,TARGET
16567,2026-08-13 12:07:08.992,1,7826.5,PIN7,DEV,TARGET
16568,2026-08-13 12:08:40.384,1,7827.25,PIN7,DEV,TARGET
16577,2026-08-13 12:17:46.332,1,7824.0,EMA24,DEV,TARGET
16581,2026-08-13 12:22:47.596,1,7827.5,PIN7,DEV,STOP
16582,2026-08-13 12:25:08.080,1,7828.25,PIN7,DEV,STOP
16585,2026-08-13 12:27:53.456,1,7826.0,EMA24,DEV,TARGET
16615,2026-08-13 12:54:40.028,-1,7821.0,EMA50,DEV,TARGET
16885,2026-08-14 06:31:24.252,-1,7823.0,EMA8,DEV,TARGET
16914,2026-08-14 06:40:04.108,-1,7821.75,EMA24,DEV,STOP
16999,2026-08-14 07:09:12.716,1,7829.5,EMA8,DEV,STOP
17002,2026-08-14 07:10:06.516,1,7828.75,EMA24,DEV,STOP
17041,2026-08-14 07:23:01.072,-1,7818.0,EMA8,DEV,TARGET
17046,2026-08-14 07:24:38.732,-1,7817.75,EMA8,DEV,TARGET
17053,2026-08-14 07:26:40.256,-1,7816.75,EMA8,DEV,TARGET
17055,2026-08-14 07:27:23.612,-1,7816.0,EMA8,DEV,TARGET
17063,2026-08-14 07:30:14.040,-1,7816.25,EMA24,DEV,TARGET
17066,2026-08-14 07:30:44.692,-1,7813.0,PIN7,DEV,TARGET
17067,2026-08-14 07:30:57.944,-1,7812.5,PIN7,DEV,TARGET
17069,2026-08-14 07:31:38.368,-1,7812.75,EMA8,DEV,TARGET
