bar,time,text_time,direction,entry,early,result,won,tail,body,finish,s8,s24,s50,gap824,gap2450,body_distance8,bar_distance8,close_extension,prior_streak
1307,63921423497,2026-08-03 06:58:17.140,1,7583.5,True,TARGET,True,5.0,0.0,0.0,39.345632,41.432247,39.538356,6.916607999999542,10.046711999999388,0.843511999999464,-4.156488000000536,-1.0,0
1311,63921423578,2026-08-03 06:59:38.576,1,7585.5,True,TARGET,True,4.0,1.0,0.0,54.001858,47.981697,43.567743,7.994083999998111,10.649192000000767,2.415528000001359,-1.584471999998641,0.0,0
1312,63921423586,2026-08-03 06:59:46.552,1,7586.25,True,TARGET,True,3.0,2.0,0.0,50.630462,47.055161,43.230217,8.266987999999401,10.819264000001567,2.9898560000001453,-0.010143999999854714,3.0,1
1364,63921423962,2026-08-03 07:06:02.236,1,7587.5,True,NONE,False,4.0,1.0,0.0,47.650587,15.549563,12.151542,0.28516400000080466,2.2005319999989297,3.8468880000000354,-0.1531119999999646,2.0,3
1367,63921423994,2026-08-03 07:06:34.428,1,7587.75,True,STOP,False,4.0,1.0,0.0,36.408543,17.380966,13.535576,1.5585959999989427,2.4173759999976028,2.634408000001713,-1.365591999998287,2.0,1
1376,63921424061,2026-08-03 07:07:41.732,1,7587.5,True,STOP,False,4.0,1.0,0.0,-2.053463,3.561758,6.860196,1.0252399999990303,2.245284000000538,0.8266960000000836,-3.1733039999999164,2.0,1
1387,63921424217,2026-08-03 07:10:17.404,1,7588.5,True,TARGET,True,4.0,1.0,0.0,43.917377,22.810323,14.570168,2.1450839999997697,1.747644000002765,3.4891959999986284,-0.5108040000013716,2.0,1
1389,63921424226,2026-08-03 07:10:26.840,1,7590.5,True,TARGET,True,3.0,2.0,0.0,62.23364,40.957107,26.392894,4.533543999998074,2.6280360000018845,6.073712000001251,3.073712000001251,3.0,3
1397,63921424336,2026-08-03 07:12:16.724,1,7591.5,True,STOP,False,4.0,1.0,0.0,38.506231,35.945634,27.609017,5.8574959999969,4.736400000001595,3.2971160000015516,-0.7028839999984484,2.0,2
1399,63921424371,2026-08-03 07:12:51.456,1,7591.25,True,STOP,False,4.0,1.0,0.0,40.145521,37.34554,29.189545,5.753912000000128,5.074420000000828,0.9945520000001125,-3.0054479999998875,0.0,0
