BarNumber,Time,Families,Direction,Horizon,TargetTicks,ExitReason,PnlTicks
2357,2026-08-04 03:49:37.488,EMA24,1,12,30,BREAK_EVEN,0.0000
2357,2026-08-04 03:49:37.488,EMA24,1,24,5,TARGET,5.0000
2357,2026-08-04 03:49:37.488,EMA24,1,24,10,BREAK_EVEN,0.0000
2357,2026-08-04 03:49:37.488,EMA24,1,24,15,BREAK_EVEN,0.0000
2357,2026-08-04 03:49:37.488,EMA24,1,24,20,BREAK_EVEN,0.0000
2357,2026-08-04 03:49:37.488,EMA24,1,24,25,BREAK_EVEN,0.0000
2357,2026-08-04 03:49:37.488,EMA24,1,24,30,BREAK_EVEN,0.0000
2357,2026-08-04 03:49:37.488,EMA24,1,48,5,TARGET,5.0000
2357,2026-08-04 03:49:37.488,EMA24,1,48,10,BREAK_EVEN,0.0000
2357,2026-08-04 03:49:37.488,EMA24,1,48,15,BREAK_EVEN,0.0000
2357,2026-08-04 03:49:37.488,EMA24,1,48,20,BREAK_EVEN,0.0000
2357,2026-08-04 03:49:37.488,EMA24,1,48,25,BREAK_EVEN,0.0000
2357,2026-08-04 03:49:37.488,EMA24,1,48,30,BREAK_EVEN,0.0000
2392,2026-08-04 04:23:49.092,EMA8,1,12,5,TARGET,5.0000
2392,2026-08-04 04:23:49.092,EMA8,1,12,10,TARGET,10.0000
2392,2026-08-04 04:23:49.092,EMA8,1,12,15,BREAK_EVEN,0.0000
2392,2026-08-04 04:23:49.092,EMA8,1,12,20,BREAK_EVEN,0.0000
2392,2026-08-04 04:23:49.092,EMA8,1,12,25,BREAK_EVEN,0.0000
2392,2026-08-04 04:23:49.092,EMA8,1,12,30,BREAK_EVEN,0.0000
2392,2026-08-04 04:23:49.092,EMA8,1,24,5,TARGET,5.0000
2392,2026-08-04 04:23:49.092,EMA8,1,24,10,TARGET,10.0000
2392,2026-08-04 04:23:49.092,EMA8,1,24,15,BREAK_EVEN,0.0000
2392,2026-08-04 04:23:49.092,EMA8,1,24,20,BREAK_EVEN,0.0000
2392,2026-08-04 04:23:49.092,EMA8,1,24,25,BREAK_EVEN,0.0000
2392,2026-08-04 04:23:49.092,EMA8,1,24,30,BREAK_EVEN,0.0000
2392,2026-08-04 04:23:49.092,EMA8,1,48,5,TARGET,5.0000
2392,2026-08-04 04:23:49.092,EMA8,1,48,10,TARGET,10.0000
2392,2026-08-04 04:23:49.092,EMA8,1,48,15,BREAK_EVEN,0.0000
2392,2026-08-04 04:23:49.092,EMA8,1,48,20,BREAK_EVEN,0.0000
2392,2026-08-04 04:23:49.092,EMA8,1,48,25,BREAK_EVEN,0.0000
2392,2026-08-04 04:23:49.092,EMA8,1,48,30,BREAK_EVEN,0.0000
2399,2026-08-04 04:36:01.536,EMA8,1,12,5,HARD_STOP,-10.0000
2399,2026-08-04 04:36:01.536,EMA8,1,12,10,HARD_STOP,-10.0000
2399,2026-08-04 04:36:01.536,EMA8,1,12,15,HARD_STOP,-10.0000
2399,2026-08-04 04:36:01.536,EMA8,1,12,20,HARD_STOP,-10.0000
2399,2026-08-04 04:36:01.536,EMA8,1,12,25,HARD_STOP,-10.0000
