Prior8Min,Prior24Min,Gap824Min,PenMin,PenMax,Current8Min,DevN,DevTarget,DevRate,HoldN,HoldTarget,HoldRate
45,30,5,1,4.5,15,153,114,74.51,195,140,71.79
45,30,5,1,2.5,-999,88,71,80.68,108,79,73.15
45,30,5,1,2.5,0,88,71,80.68,108,79,73.15
45,30,5,1,2.5,15,88,71,80.68,108,79,73.15
45,39,1.5,0,4.5,-999,246,179,72.76,285,204,71.58
45,39,1.5,0,4.5,0,243,176,72.43,278,198,71.22
45,39,1.5,0,4.5,15,226,163,72.12,256,181,70.7
45,39,1.5,0.5,4.5,-999,228,167,73.25,274,196,71.53
45,39,1.5,0.5,4.5,0,225,164,72.89,267,190,71.16
45,39,1.5,0.5,4.5,15,208,151,72.6,245,173,70.61
45,39,1.5,1,4.5,-999,206,151,73.3,249,181,72.69
45,39,1.5,1,4.5,0,203,148,72.91,242,175,72.31
45,39,1.5,1,4.5,15,186,135,72.58,220,158,71.82
45,39,1.5,1,2.5,-999,109,86,78.9,118,85,72.03
45,39,1.5,1,2.5,0,109,86,78.9,118,85,72.03
45,39,1.5,1,2.5,15,109,86,78.9,118,85,72.03
45,39,3,0,4.5,-999,246,179,72.76,285,204,71.58
45,39,3,0,4.5,0,243,176,72.43,278,198,71.22
45,39,3,0,4.5,15,226,163,72.12,256,181,70.7
45,39,3,0.5,4.5,-999,228,167,73.25,274,196,71.53
45,39,3,0.5,4.5,0,225,164,72.89,267,190,71.16
45,39,3,0.5,4.5,15,208,151,72.6,245,173,70.61
45,39,3,1,4.5,-999,206,151,73.3,249,181,72.69
45,39,3,1,4.5,0,203,148,72.91,242,175,72.31
45,39,3,1,4.5,15,186,135,72.58,220,158,71.82
45,39,3,1,2.5,-999,109,86,78.9,118,85,72.03
45,39,3,1,2.5,0,109,86,78.9,118,85,72.03
45,39,3,1,2.5,15,109,86,78.9,118,85,72.03
45,39,4,0,4.5,-999,236,170,72.03,273,198,72.53
45,39,4,0,4.5,0,234,168,71.79,270,195,72.22
45,39,4,0,4.5,15,218,156,71.56,250,179,71.6
45,39,4,0.5,4.5,-999,218,158,72.48,262,190,72.52
45,39,4,0.5,4.5,0,216,156,72.22,259,187,72.2
45,39,4,0.5,4.5,15,200,144,72.0,239,171,71.55
45,39,4,1,4.5,-999,196,142,72.45,237,175,73.84
45,39,4,1,4.5,0,194,140,72.16,234,172,73.5
45,39,4,1,4.5,15,178,128,71.91,214,156,72.9
45,39,4,1,2.5,-999,105,83,79.05,114,84,73.68
45,39,4,1,2.5,0,105,83,79.05,114,84,73.68
45,39,4,1,2.5,15,105,83,79.05,114,84,73.68
45,39,5,0,4.5,-999,205,151,73.66,247,177,71.66
45,39,5,0,4.5,0,204,150,73.53,245,175,71.43
45,39,5,0,4.5,15,192,142,73.96,227,161,70.93
45,39,5,0.5,4.5,-999,188,139,73.94,236,169,71.61
45,39,5,0.5,4.5,0,187,138,73.8,234,167,71.37
45,39,5,0.5,4.5,15,175,130,74.29,216,153,70.83
45,39,5,1,4.5,-999,166,123,74.1,212,155,73.11
45,39,5,1,4.5,0,165,122,73.94,210,153,72.86
45,39,5,1,4.5,15,153,114,74.51,192,139,72.4
45,39,5,1,2.5,-999,88,71,80.68,106,79,74.53
45,39,5,1,2.5,0,88,71,80.68,106,79,74.53
45,39,5,1,2.5,15,88,71,80.68,106,79,74.53
