bar,time,direction,family,version,segment,outcome
3565,2026-08-04 12:51:50.464,-1,EMA8,NO_50_ALL,DEV,TARGET
3567,2026-08-04 12:52:08.384,-1,EMA8,CURRENT,DEV,TARGET
3567,2026-08-04 12:52:08.384,-1,EMA8,NO_50_ORDER,DEV,TARGET
3567,2026-08-04 12:52:08.384,-1,EMA8,NO_50_ALL,DEV,TARGET
3575,2026-08-04 12:54:08.616,-1,PIN7,CURRENT,DEV,TARGET
3575,2026-08-04 12:54:08.616,-1,PIN7,NO_50_ORDER,DEV,TARGET
3575,2026-08-04 12:54:08.616,-1,PIN7,NO_50_ALL,DEV,TARGET
3576,2026-08-04 12:54:16.924,-1,PIN7,CURRENT,DEV,TARGET
3576,2026-08-04 12:54:16.924,-1,PIN7,NO_50_ORDER,DEV,TARGET
3576,2026-08-04 12:54:16.924,-1,PIN7,NO_50_ALL,DEV,TARGET
3607,2026-08-04 12:59:25.016,1,PIN_STRICT,NO_50_ALL,DEV,STOP
3616,2026-08-04 12:59:44.036,-1,PIN7,CURRENT,DEV,TARGET
3616,2026-08-04 12:59:44.036,-1,PIN7,NO_50_ORDER,DEV,TARGET
3616,2026-08-04 12:59:44.036,-1,PIN7,NO_50_ALL,DEV,TARGET
4490,2026-08-05 06:31:06.756,1,PIN7,CURRENT,DEV,TARGET
4490,2026-08-05 06:31:06.756,1,PIN7,NO_50_ORDER,DEV,TARGET
4490,2026-08-05 06:31:06.756,1,PIN7,NO_50_ALL,DEV,TARGET
4540,2026-08-05 06:36:31.080,-1,PIN_STRICT,NO_50_ALL,DEV,TARGET
4541,2026-08-05 06:36:35.616,-1,PIN_STRICT,NO_50_ALL,DEV,STOP
4542,2026-08-05 06:36:37.384,-1,PIN_STRICT,NO_50_ALL,DEV,STOP
4578,2026-08-05 06:39:52.952,1,PIN_STRICT,CURRENT,DEV,TARGET
4578,2026-08-05 06:39:52.952,1,PIN_STRICT,NO_50_ORDER,DEV,TARGET
4578,2026-08-05 06:39:52.952,1,PIN_STRICT,NO_50_ALL,DEV,TARGET
4581,2026-08-05 06:39:53.476,1,PIN_STRICT,CURRENT,DEV,TARGET
4581,2026-08-05 06:39:53.476,1,PIN_STRICT,NO_50_ORDER,DEV,TARGET
4581,2026-08-05 06:39:53.476,1,PIN_STRICT,NO_50_ALL,DEV,TARGET
4618,2026-08-05 06:43:36.496,-1,PIN7,NO_50_ORDER,DEV,TARGET
4618,2026-08-05 06:43:36.496,-1,PIN7,NO_50_ALL,DEV,TARGET
4625,2026-08-05 06:44:06.224,-1,EMA24,NO_50_ALL,DEV,TARGET
4846,2026-08-05 07:01:03.532,-1,EMA24,NO_50_ALL,DEV,TARGET
4850,2026-08-05 07:01:22.552,-1,EMA24,NO_50_ALL,DEV,TARGET
4856,2026-08-05 07:01:46.872,-1,EMA8,CURRENT,DEV,TARGET
4856,2026-08-05 07:01:46.872,-1,EMA8,NO_50_ORDER,DEV,TARGET
4856,2026-08-05 07:01:46.872,-1,EMA8,NO_50_ALL,DEV,TARGET
4886,2026-08-05 07:04:29.920,1,EMA24,NO_50_ORDER,DEV,TARGET
4886,2026-08-05 07:04:29.920,1,EMA24,NO_50_ALL,DEV,TARGET
4895,2026-08-05 07:05:01.848,1,PIN7,NO_50_ORDER,DEV,TARGET
4895,2026-08-05 07:05:01.848,1,PIN7,NO_50_ALL,DEV,TARGET
4899,2026-08-05 07:05:16.744,1,PIN7,CURRENT,DEV,TARGET
4899,2026-08-05 07:05:16.744,1,PIN7,NO_50_ORDER,DEV,TARGET
4899,2026-08-05 07:05:16.744,1,PIN7,NO_50_ALL,DEV,TARGET
4909,2026-08-05 07:05:50.004,1,EMA8,CURRENT,DEV,STOP
4909,2026-08-05 07:05:50.004,1,EMA8,NO_50_ORDER,DEV,STOP
4909,2026-08-05 07:05:50.004,1,EMA8,NO_50_ALL,DEV,STOP
4993,2026-08-05 07:15:05.100,1,EMA24,CURRENT,DEV,TARGET
4993,2026-08-05 07:15:05.100,1,EMA24,NO_50_ORDER,DEV,TARGET
4993,2026-08-05 07:15:05.100,1,EMA24,NO_50_ALL,DEV,TARGET
5030,2026-08-05 07:20:05.860,-1,PIN_STRICT,NO_50_ALL,DEV,TARGET
5034,2026-08-05 07:20:20.652,-1,EMA8,CURRENT,DEV,TARGET
5034,2026-08-05 07:20:20.652,-1,EMA8,NO_50_ORDER,DEV,TARGET
5034,2026-08-05 07:20:20.652,-1,EMA8,NO_50_ALL,DEV,TARGET
5036,2026-08-05 07:20:28.032,-1,EMA8,CURRENT,DEV,TARGET
5036,2026-08-05 07:20:28.032,-1,EMA8,NO_50_ORDER,DEV,TARGET
5036,2026-08-05 07:20:28.032,-1,EMA8,NO_50_ALL,DEV,TARGET
5041,2026-08-05 07:21:06.552,-1,EMA8,CURRENT,DEV,STOP
5041,2026-08-05 07:21:06.552,-1,EMA8,NO_50_ORDER,DEV,STOP
5041,2026-08-05 07:21:06.552,-1,EMA8,NO_50_ALL,DEV,STOP
5049,2026-08-05 07:22:10.876,-1,EMA8,CURRENT,DEV,TARGET
5049,2026-08-05 07:22:10.876,-1,EMA8,NO_50_ORDER,DEV,TARGET
5049,2026-08-05 07:22:10.876,-1,EMA8,NO_50_ALL,DEV,TARGET
5053,2026-08-05 07:22:26.564,-1,EMA8,CURRENT,DEV,TARGET
5053,2026-08-05 07:22:26.564,-1,EMA8,NO_50_ORDER,DEV,TARGET
5053,2026-08-05 07:22:26.564,-1,EMA8,NO_50_ALL,DEV,TARGET
5057,2026-08-05 07:22:53.764,-1,EMA8,CURRENT,DEV,TARGET
5057,2026-08-05 07:22:53.764,-1,EMA8,NO_50_ORDER,DEV,TARGET
5057,2026-08-05 07:22:53.764,-1,EMA8,NO_50_ALL,DEV,TARGET
5061,2026-08-05 07:23:12.508,-1,EMA8,CURRENT,DEV,TARGET
5061,2026-08-05 07:23:12.508,-1,EMA8,NO_50_ORDER,DEV,TARGET
5061,2026-08-05 07:23:12.508,-1,EMA8,NO_50_ALL,DEV,TARGET
5066,2026-08-05 07:23:32.376,-1,PIN7,CURRENT,DEV,STOP
5066,2026-08-05 07:23:32.376,-1,PIN7,NO_50_ORDER,DEV,STOP
5066,2026-08-05 07:23:32.376,-1,PIN7,NO_50_ALL,DEV,STOP
5078,2026-08-05 07:25:12.824,1,PIN_STRICT,NO_50_ALL,DEV,TARGET
5081,2026-08-05 07:25:25.012,1,PIN_STRICT,NO_50_ALL,DEV,TARGET
5082,2026-08-05 07:25:31.036,1,PIN_STRICT,NO_50_ALL,DEV,TARGET
5083,2026-08-05 07:25:33.744,1,PIN_STRICT,NO_50_ALL,DEV,TARGET
5123,2026-08-05 07:29:53.036,-1,PIN_STRICT,CURRENT,DEV,TARGET
5123,2026-08-05 07:29:53.036,-1,PIN_STRICT,NO_50_ORDER,DEV,TARGET
5123,2026-08-05 07:29:53.036,-1,PIN_STRICT,NO_50_ALL,DEV,TARGET
5129,2026-08-05 07:30:09.948,-1,PIN7,CURRENT,DEV,TARGET
5129,2026-08-05 07:30:09.948,-1,PIN7,NO_50_ORDER,DEV,TARGET
5129,2026-08-05 07:30:09.948,-1,PIN7,NO_50_ALL,DEV,TARGET
5131,2026-08-05 07:30:19.320,-1,EMA8,CURRENT,DEV,TARGET
5131,2026-08-05 07:30:19.320,-1,EMA8,NO_50_ORDER,DEV,TARGET
5131,2026-08-05 07:30:19.320,-1,EMA8,NO_50_ALL,DEV,TARGET
5138,2026-08-05 07:31:06.088,-1,EMA24,CURRENT,DEV,TARGET
5138,2026-08-05 07:31:06.088,-1,EMA24,NO_50_ORDER,DEV,TARGET
5138,2026-08-05 07:31:06.088,-1,EMA24,NO_50_ALL,DEV,TARGET
5142,2026-08-05 07:31:25.308,-1,PIN7,CURRENT,DEV,TARGET
5142,2026-08-05 07:31:25.308,-1,PIN7,NO_50_ORDER,DEV,TARGET
5142,2026-08-05 07:31:25.308,-1,PIN7,NO_50_ALL,DEV,TARGET
5149,2026-08-05 07:32:22.196,-1,EMA24,CURRENT,DEV,TARGET
5149,2026-08-05 07:32:22.196,-1,EMA24,NO_50_ORDER,DEV,TARGET
5149,2026-08-05 07:32:22.196,-1,EMA24,NO_50_ALL,DEV,TARGET
