bar,time,direction,body,tail,bar_distance8,close_depth,body_depth,core,strict,prime,segment,outcome
15770,2026-08-13 00:50:35.748,1,2.0,3.0,2.9147,10,10,False,False,False,DEV,STOP
15787,2026-08-13 01:14:36.164,1,2.0,3.0,-0.8998,4,1,False,False,False,DEV,STOP
15791,2026-08-13 01:21:37.356,1,2.0,3.0,-2.8018,2,1,False,False,False,DEV,TARGET
15798,2026-08-13 01:51:22.312,1,2.0,3.0,-0.1436,3,1,False,False,False,DEV,STOP
15800,2026-08-13 02:01:37.360,1,2.0,3.0,-1.8893,0,0,False,False,False,DEV,STOP
15808,2026-08-13 02:24:08.260,1,2.0,3.0,-1.9496,3,3,False,False,False,DEV,TARGET
15811,2026-08-13 02:33:24.804,1,2.0,3.0,-0.9626,1,1,False,False,False,DEV,TARGET
15820,2026-08-13 03:48:18.364,1,1.0,4.0,-1.1538,1,1,False,False,False,DEV,TARGET
15829,2026-08-13 04:34:56.496,1,2.0,3.0,-1.3141,3,3,False,False,False,DEV,TARGET
15912,2026-08-13 05:30:05.844,1,0.0,5.0,-2.7243,1,1,False,False,False,DEV,TARGET
15913,2026-08-13 05:30:06.484,1,2.0,3.0,-0.8966,10,10,False,False,False,DEV,STOP
15922,2026-08-13 05:30:40.916,-1,2.0,3.0,5.9475,10,10,False,False,False,DEV,TARGET
15925,2026-08-13 05:31:13.288,-1,2.0,3.0,2.8875,10,1,False,False,False,DEV,TARGET
15954,2026-08-13 05:55:33.496,1,2.0,3.0,1.2369,10,10,False,False,False,DEV,TARGET
15955,2026-08-13 05:59:43.220,1,2.0,3.0,2.1842,10,10,False,False,False,DEV,TARGET
15960,2026-08-13 06:07:54.664,1,2.0,3.0,4.0052,10,10,True,True,False,DEV,TARGET
15967,2026-08-13 06:20:50.456,1,0.0,5.0,0.9906,10,10,False,False,False,DEV,TARGET
15972,2026-08-13 06:29:49.520,1,2.0,3.0,-1.3591,2,1,False,False,False,DEV,TARGET
16002,2026-08-13 06:32:35.720,1,2.0,3.0,1.1855,3,3,False,False,True,DEV,STOP
16006,2026-08-13 06:32:56.280,1,2.0,3.0,-2.6436,1,1,False,False,True,DEV,TARGET
16008,2026-08-13 06:33:23.260,1,2.0,3.0,1.1786,10,4,False,False,True,DEV,TARGET
16026,2026-08-13 06:35:48.232,1,0.0,5.0,3.539,10,10,False,False,True,DEV,TARGET
16029,2026-08-13 06:36:21.984,1,1.0,4.0,1.5814,10,1,False,False,True,DEV,TARGET
16030,2026-08-13 06:36:43.512,1,1.0,4.0,1.6744,10,10,True,False,True,DEV,TARGET
16033,2026-08-13 06:37:35.892,1,0.0,5.0,4.7659,10,10,False,False,True,DEV,TARGET
16038,2026-08-13 06:39:32.096,1,2.0,3.0,0.9992,10,1,False,False,True,DEV,TARGET
16040,2026-08-13 06:39:57.076,1,1.0,4.0,3.2094,10,10,True,False,True,DEV,STOP
16064,2026-08-13 06:46:04.564,1,2.0,3.0,5.6437,10,10,False,False,False,DEV,TARGET
16067,2026-08-13 06:46:29.204,1,0.0,5.0,6.163,10,10,False,False,False,DEV,TARGET
16068,2026-08-13 06:47:17.840,1,2.0,3.0,6.0156,10,10,True,True,False,DEV,TARGET
