EMA,PullbackBars,Shape,Prior24Min,CurrentSlopeMin,Gap1Min,Gap2OrPenMin,PenMax,RecoveryOrDispMin,DevN,DevTarget,DevRate,HoldN,HoldTarget,HoldRate
8,1,tail_1,20,0,3,1,6,0,102,74,72.55,104,73,70.19
8,1,tail_1,20,0,3,1,6,1,39,29,74.36,37,26,70.27
8,1,tail_1,20,0,5,0,2.5,0,63,44,69.84,67,55,82.09
8,1,tail_1,20,0,5,0,2.5,1,16,12,75.0,21,17,80.95
8,1,tail_1,20,0,5,0,4.5,0,82,56,68.29,79,62,78.48
8,1,tail_1,20,0,5,0,4.5,1,25,18,72.0,25,19,76.0
8,1,tail_1,20,0,5,0,6,0,82,56,68.29,79,62,78.48
8,1,tail_1,20,0,5,0,6,1,25,18,72.0,25,19,76.0
8,1,tail_1,20,0,5,1,2.5,0,26,20,76.92,29,24,82.76
8,1,tail_1,20,0,5,1,4.5,0,45,32,71.11,41,31,75.61
8,1,tail_1,20,0,5,1,4.5,1,9,6,66.67,4,2,50.0
8,1,tail_1,20,0,5,1,6,0,45,32,71.11,41,31,75.61
8,1,tail_1,20,0,5,1,6,1,9,6,66.67,4,2,50.0
8,1,tail_1,20,15,3,0,2.5,0,99,69,69.7,111,81,72.97
8,1,tail_1,20,15,3,0,2.5,1,33,25,75.76,42,29,69.05
8,1,tail_1,20,15,3,0,4.5,0,126,89,70.63,138,99,71.74
8,1,tail_1,20,15,3,0,4.5,1,44,33,75.0,52,36,69.23
8,1,tail_1,20,15,3,0,6,0,126,89,70.63,138,99,71.74
8,1,tail_1,20,15,3,0,6,1,44,33,75.0,52,36,69.23
8,1,tail_1,20,15,3,1,2.5,0,53,39,73.58,61,43,70.49
8,1,tail_1,20,15,3,1,2.5,1,13,11,84.62,14,9,64.29
8,1,tail_1,20,15,3,1,4.5,0,80,59,73.75,88,61,69.32
8,1,tail_1,20,15,3,1,4.5,1,24,19,79.17,24,16,66.67
8,1,tail_1,20,15,3,1,6,0,80,59,73.75,88,61,69.32
8,1,tail_1,20,15,3,1,6,1,24,19,79.17,24,16,66.67
8,1,tail_1,20,15,5,0,2.5,0,63,44,69.84,67,55,82.09
8,1,tail_1,20,15,5,0,2.5,1,16,12,75.0,21,17,80.95
8,1,tail_1,20,15,5,0,4.5,0,71,49,69.01,73,59,80.82
8,1,tail_1,20,15,5,0,4.5,1,16,12,75.0,21,17,80.95
8,1,tail_1,20,15,5,0,6,0,71,49,69.01,73,59,80.82
8,1,tail_1,20,15,5,0,6,1,16,12,75.0,21,17,80.95
8,1,tail_1,20,15,5,1,2.5,0,26,20,76.92,29,24,82.76
8,1,tail_1,20,15,5,1,4.5,0,34,25,73.53,35,28,80.0
8,1,tail_1,20,15,5,1,6,0,34,25,73.53,35,28,80.0
8,1,tail_1,20,30,3,0,2.5,0,99,69,69.7,111,81,72.97
8,1,tail_1,20,30,3,0,2.5,1,33,25,75.76,42,29,69.05
8,1,tail_1,20,30,3,0,4.5,0,99,69,69.7,114,83,72.81
8,1,tail_1,20,30,3,0,4.5,1,33,25,75.76,45,31,68.89
8,1,tail_1,20,30,3,0,6,0,99,69,69.7,114,83,72.81
8,1,tail_1,20,30,3,0,6,1,33,25,75.76,45,31,68.89
8,1,tail_1,20,30,3,1,2.5,0,53,39,73.58,61,43,70.49
8,1,tail_1,20,30,3,1,2.5,1,13,11,84.62,14,9,64.29
8,1,tail_1,20,30,3,1,4.5,0,53,39,73.58,64,45,70.31
8,1,tail_1,20,30,3,1,4.5,1,13,11,84.62,17,11,64.71
8,1,tail_1,20,30,3,1,6,0,53,39,73.58,64,45,70.31
8,1,tail_1,20,30,3,1,6,1,13,11,84.62,17,11,64.71
8,1,tail_1,20,30,5,0,2.5,0,63,44,69.84,67,55,82.09
8,1,tail_1,20,30,5,0,2.5,1,16,12,75.0,21,17,80.95
8,1,tail_1,20,30,5,0,4.5,0,63,44,69.84,67,55,82.09
8,1,tail_1,20,30,5,0,4.5,1,16,12,75.0,21,17,80.95
